cl_from	cl_to
284490	312430
464019	361955
816907	361955
986446	1572235
371568	1526845
418590	5604
418590	1526845
247535	312430
895487	312430
50870	1162
976773	312430
343273	312430
209277	941
410956	5367
520423	312430
1116682	5256
384792	1065
1177175	1550796
117363	1509055
116227	1509055
498842	312430
1186844	1508517
294198	1501538
1200144	1501538
884885	361955
468297	362559
156143	1508
96438	997
434517	1581014
823122	1542205
208629	1148
884593	1584588
316924	312430
628731	1589
909081	1403
149650	681680
869390	361955
812954	361955
820446	361955
851086	361955
5122	1499163
854231	361955
768297	593951
500785	10529
848651	361955
829376	312430
863200	361955
11052	499028
11052	499041
818981	361955
1196418	1098
179187	312430
906274	361955
827948	361955
1222525	1335
79284	312430
1237287	907
469837	362559
890157	361955
296831	1259
1078704	769
399751	361955
391605	814
871657	361955
846421	361955
472507	362559
453241	362559
1224213	1203988
825013	361955
398138	312430
436927	362559
828061	361955
854204	361955
798927	1668202
537068	1572233
817549	361955
27883	1320
27883	1668249
651263	836
1215907	5369
1222010	609737
787405	1658604
106959	1355
1106749	1497866
815966	361955
7782	1283
819769	361955
458429	1473279
28093	1668767
883600	1542205
1148608	1668767
928008	1610965
928008	1610973
442543	312430
118108	730
118108	10805
883949	361955
453018	838
1105174	1597650
964152	1610978
23429	1610978
1103540	10774
1103540	10789
1136764	1598821
1213833	5574
834320	361955
877010	361955
1199168	312430
787148	1658229
875114	361955
879166	361955
827978	361955
872542	361955
1021797	312430
470781	362559
877959	361955
442590	362559
586343	1406531
268203	312430
892323	361955
55141	361955
824208	361955
366536	312430
217018	1406531
460730	362559
659223	4734
659223	4861
326318	312430
680685	1577
837826	504997
865120	361955
450894	312430
446181	362559
387182	1509055
406107	312430
779085	11093
281786	4739
50851	1468
50851	1008348
50849	1215
20357	1048
208073	5321
208073	5345
45973	312430
400566	312430
218330	5622
175810	312430
1237477	1328009
462079	1526845
116979	312430
553209	1653243
149651	681680
181747	1651050
149652	681680
1008595	1610957
1008595	1610978
215349	1653243
945482	4741
476256	312430
398556	312430
867130	361955
434702	362559
719919	914
82823	312430
149653	1326
149653	681680
403868	312430
192994	1232
178107	5704
192996	1232
11678	1668249
192990	1232
459072	1491
440321	362559
17083	1001825
440316	362559
1079375	1394
1128616	1491
762343	1486
469206	362559
433663	362559
192992	1232
890498	361955
629505	1485
628940	1485
152488	922
152488	923
382800	312430
454564	312430
851111	361955
440949	362559
847476	361955
389097	1584598
149655	681680
399767	701729
728383	933
456622	362559
817190	361955
826016	361955
766315	361955
827889	361955
825021	361955
880552	361955
104425	1359544
257094	312430
877803	361955
465019	362559
670434	361955
399758	362559
817911	361955
391494	361955
874067	361955
820350	361955
840634	361955
455155	362559
713470	1526931
